Running run
/home/float/g4xk7-mvbjj/HDU/hd-hws/szdl/hdu-dd/lab16_traffic_light/build/Vtraffic_light_display_unit
Time: 85, Second: 6, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 87, Second: 6, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 89, Second: 6, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 91, Second: 6, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 93, Second: 6, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 95, Second: 6, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 97, Second: 6, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 99, Second: 7, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 101, Second: 7, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 103, Second: 7, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 105, Second: 7, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 107, Second: 7, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 109, Second: 7, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 111, Second: 7, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 113, Second: 7, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 115, Second: 8, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 117, Second: 8, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 119, Second: 8, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 121, Second: 8, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 123, Second: 8, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 125, Second: 8, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
